date,home_team,away_team,home_score,away_score,competition,city,country,neutral,world_cup,winner
1897,Scotland,Ireland,8,3,1897 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1897,England,Scotland,12,3,1897 Home Nations Championship,Manchester,England,FALSE,FALSE,England
1898,England,Ireland,6,9,1898 Home Nations Championship,Richmond,England,FALSE,FALSE,Ireland
1898,Ireland,Scotland,0,8,1898 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Scotland
1898,Scotland,England,3,3,1898 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Draw
1898,Ireland,Wales,3,11,1898 Home Nations Championship,Limerick,Ireland,FALSE,FALSE,Wales
1898,England,Wales,14,7,1898 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1899,Wales,England,26,3,1899 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1899,Ireland,England,6,0,1899 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1899,Scotland,Ireland,3,9,1899 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Ireland
1899,Scotland,Wales,21,10,1899 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1899,England,Scotland,0,5,1899 Home Nations Championship,Blackheath,England,FALSE,FALSE,Scotland
1899,Wales,Ireland,0,3,1899 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Ireland
1900,England,Wales,3,13,1900 Home Nations Championship,Gloucester,England,FALSE,FALSE,Wales
1900,Wales,Scotland,12,3,1900 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1900,England,Ireland,15,4,1900 Home Nations Championship,Richmond,England,FALSE,FALSE,England
1900,Ireland,Scotland,0,0,1900 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Draw
1900,Scotland,England,0,0,1900 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Draw
1900,Ireland,Wales,0,3,1900 Home Nations Championship,Balmoral,Ireland,FALSE,FALSE,Wales
1901,Wales,England,13,0,1901 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1901,Scotland,Wales,18,8,1901 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1901,Ireland,England,10,6,1901 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1901,Scotland,Ireland,9,5,1901 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1901,England,Scotland,3,18,1901 Home Nations Championship,Blackheath,England,FALSE,FALSE,Scotland
1901,Wales,Ireland,10,9,1901 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1902,England,Wales,8,9,1902 Home Nations Championship,Blackheath,England,FALSE,FALSE,Wales
1902,Wales,Scotland,14,5,1902 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1902,England,Ireland,6,3,1902 Home Nations Championship,Leicester,England,FALSE,FALSE,England
1902,Ireland,Scotland,5,0,1902 Home Nations Championship,Belfast,Ireland,FALSE,FALSE,Ireland
1902,Ireland,Wales,0,15,1902 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Wales
1902,Scotland,England,3,6,1902 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,England
1903,Wales,England,21,5,1903 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1903,Scotland,Wales,6,0,1903 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1903,Ireland,England,6,0,1903 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Ireland
1903,Scotland,Ireland,3,0,1903 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1903,Wales,Ireland,18,0,1903 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1903,England,Scotland,6,10,1903 Home Nations Championship,Richmond,England,FALSE,FALSE,Scotland
1903,Australia,New Zealand,3,22,1903 New Zealand tour of Australia,Sydney,Australia,FALSE,FALSE,New Zealand
1904,England,Wales,14,14,1904 Home Nations Championship,Leicester,England,FALSE,FALSE,Draw
1904,Wales,Scotland,21,3,1904 Home Nations Championship,Swansea,Wales,FALSE,FALSE,Wales
1904,England,Ireland,19,0,1904 Home Nations Championship,Blackheath,England,FALSE,FALSE,England
1904,Ireland,Scotland,3,19,1904 Home Nations Championship,Dublin,Ireland,FALSE,FALSE,Scotland
1904,Ireland,Wales,14,12,1904 Home Nations Championship,Balmoral,Ireland,FALSE,FALSE,Ireland
1904,Scotland,England,6,3,1904 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Scotland
1905,Wales,England,25,0,1905 Home Nations Championship,Cardiff,Wales,FALSE,FALSE,Wales
1905,Scotland,Wales,3,6,1905 Home Nations Championship,Edinburgh,Scotland,FALSE,FALSE,Wales
1905,Ireland,England,17,3,1905 Home Nations Championship,Cork,Ireland,FALSE,FALSE,Ireland
